Jonathan P Millmow,26/04/1990,AUS,Sharjah Stadium,ODI, DNB,0,  ,0,0,0
Jonathan P Millmow,28/04/1990,BAN,Sharjah Stadium,ODI, DNB,0,  ,0,0,0
Jonathan P Millmow,1/05/1990 ,PAK,Sharjah Stadium,ODI,not out      ,0,  , 3,0.0,1
Jonathan P Millmow,23/05/1990,ENG,Headingley     ,ODI, DNB,0,  ,0,0,0
Jonathan P Millmow,25/05/1990,ENG,The Oval       ,ODI, DNB,0,  ,0,0,0
