Abdur Razzak,15/08/2006,KEN,Gymkhana Club Ground,ODI, DNB,0,15.00,0,0,0
Abdur Razzak,7/10/2006 ,SRL,Punjab Cricket Stad ,ODI,b M Maharoof               ,  21,15.86,18,116.666666667,0
Abdur Razzak,11/10/2006,WIN,Sawai Mansingh Stad ,ODI,c C Baugh b D Bravo        ,   9,15.00,23,39.1304347826,0
Abdur Razzak,13/10/2006,ZIM,Sawai Mansingh Stad ,ODI, DNB,0,15.00,0,0,0
Abdur Razzak,30/11/2006,ZIM,Sheikh Abu Nasser St,ODI, DNB,0,15.00,0,0,0
Abdur Razzak,3/12/2006 ,ZIM,Shaheed Chandu Stad.,ODI, DNB,0,15.00,0,0,0
Abdur Razzak,5/12/2006 ,ZIM,Shaheed Chandu Stad.,ODI,c B Taylor b C Mpofu       ,   5,13.89, 5,100.0,0
Abdur Razzak,8/12/2006 ,ZIM,Shere Bangla Stadium,ODI, DNB,0,13.89,0,0,0
Abdur Razzak,9/12/2006 ,ZIM,Shere Bangla Stadium,ODI, DNB,0,13.89,0,0,0
Abdur Razzak,15/12/2006,SCO,Zahur Ahmed Stadium ,ODI, DNB,0,13.89,0,0,0
Abdur Razzak,17/12/2006,SCO,Shere Bangla Stadium,ODI, DNB,0,13.89,0,0,0
Abdur Razzak,4/02/2007 ,ZIM,Harare Sports Club  ,ODI,not out                    ,1,14.00, 2,50.0,1
Abdur Razzak,6/02/2007 ,ZIM,Harare Sports Club  ,ODI,not out                    ,10,15.11,10,100.0,1
Abdur Razzak,9/02/2007 ,ZIM,Harare Sports Club  ,ODI,not out                    ,2,15.33, 2,100.0,1
Abdur Razzak,10/02/2007,ZIM,Harare Sports Club  ,ODI,not out                    ,4,15.78, 6,66.6666666667,1
Abdur Razzak,25/02/2007,BER,Antigua Rec Ground  ,ODI, DNB,0,15.78,0,0,0
Abdur Razzak,28/02/2007,CAN,Antigua Rec Ground  ,ODI, DNB,0,15.78,0,0,0
Abdur Razzak,17/03/2007,IND,Queen's Park        ,ODI, DNB,0,15.78,0,0,0
Abdur Razzak,21/03/2007,SRL,Queen's Park        ,ODI,c K Sangakkara b S Malinga ,   0,14.20, 2,0.0,0
Abdur Razzak,25/03/2007,BER,Queen's Park        ,ODI, DNB,0,14.20,0,0,0
Abdur Razzak,31/03/2007,AUS,Sir Vivian Richards ,ODI, DNB,0,14.20,0,0,0
Abdur Razzak,2/04/2007 ,NZL,Sir Vivian Richards ,ODI,c sub b S Styris           ,   0,12.91, 2,0.0,0
Abdur Razzak,7/04/2007 ,SAF,Providence Stadium  ,ODI,not out                    ,2,13.09, 2,100.0,1
Abdur Razzak,11/04/2007,ENG,Kensington Oval     ,ODI,c P Collingwood b M Panesar,  15,13.25,17,88.2352941176,0
Abdur Razzak,15/04/2007,IRE,Kensington Oval     ,ODI,b W McCallan               ,  11,13.08,21,52.380952381,0
Abdur Razzak,19/04/2007,WIN,Kensington Oval     ,ODI,c B Lara b D Bravo         ,   1,12.21,10,10.0,0
Abdur Razzak,10/05/2007,IND,Shere Bangla Stadium,ODI, DNB,0,12.21,0,0,0
Abdur Razzak,12/05/2007,IND,Shere Bangla Stadium,ODI,not out                    ,9,12.86,11,81.8181818182,1
Abdur Razzak,20/07/2007,SRL,P Sara Oval         ,ODI,not out                    ,28,14.86,27,103.703703704,1
Abdur Razzak,23/07/2007,SRL,Premadasa Stadium   ,ODI,c J Mubarak b S Jayasuriya ,   3,14.07, 0,0,0
Abdur Razzak,25/07/2007,SRL,Premadasa Stadium   ,ODI,c U Chandana b S Jayasuriya,   3,13.38, 4,75.0,0
Abdur Razzak,26/12/2007,NZL,Eden Park           ,ODI,not out                    ,22,14.75,19,115.789473684,1
Abdur Razzak,28/12/2007,NZL,McLean Park         ,ODI, DNB,0,14.75,0,0,0
Abdur Razzak,31/12/2007,NZL,Queenstown Centre   ,ODI,c C Martin b K Mills       ,   6,14.24,23,26.0869565217,0
Abdur Razzak,9/03/2008 ,SAF,Zahur Ahmed Stadium ,ODI,c G Smith b A Nel          ,  15,14.28,12,125.0,0
Abdur Razzak,12/03/2008,SAF,Shere Bangla Stadium,ODI,c A de Villiers b A Nel    ,   0,13.53, 3,0.0,0
Abdur Razzak,14/03/2008,SAF,Shere Bangla Stadium,ODI,c A de Villiers b J Botha  ,   9,13.30,12,75.0,0
Abdur Razzak,18/03/2008,IRE,Shere Bangla Stadium,ODI, DNB,0,13.30,0,0,0
Abdur Razzak,20/03/2008,IRE,Shere Bangla Stadium,ODI, DNB,0,13.30,0,0,0
Abdur Razzak,22/03/2008,IRE,Shere Bangla Stadium,ODI, DNB,0,13.30,0,0,0
Abdur Razzak,8/04/2008 ,PAK,Gaddafi Stadium     ,ODI,not out                    ,11,13.85,17,64.7058823529,1
Abdur Razzak,11/04/2008,PAK,Iqbal Stadium       ,ODI,not out                    ,1,13.90, 1,100.0,1
Abdur Razzak,13/04/2008,PAK,Gaddafi Stadium     ,ODI, DNB,0,13.90,0,0,0
