Kevin G Duers,23/02/1992,SRL,Pukekura Park      ,ODI, DNB,0,   ,0,0,0
Kevin G Duers,29/02/1992,WIN,Brisbane Cricket Gr,ODI, DNB,0,   ,0,0,0
Kevin G Duers,3/03/1992 ,NZL,McLean Park        ,ODI, DNB,0,   ,0,0,0
Kevin G Duers,7/03/1992 ,IND,Seddon Park        ,ODI, DNB,0,   ,0,0,0
Kevin G Duers,10/03/1992,SAF,Manuka Oval        ,ODI,b A Donald   ,   5,5.00,10,50.0,0
Kevin G Duers,14/03/1992,AUS,Bellerive Oval     ,ODI,not out      ,2,7.00,10,20.0,1
