Darren J G Sammy,23/03/2011,PAK,Shere Bangla Stadium,ODI,lbw b Saeed Ajmal             ,   1,20.34, 3,33.3333333333,0
Darren J G Sammy,23/04/2011,PAK,Beausejour Cricket G,ODI,not out                       ,29,21.34,17,170.588235294,1
Darren J G Sammy,25/04/2011,PAK,Beausejour Cricket G,ODI,c Hammad Azam b Wahab Riaz    ,  18,21.23,25,72.0,0
Darren J G Sammy,28/04/2011,PAK,Kensington Oval     ,ODI,c Ahmed Shehzad b Wahab Riaz  ,   3,20.65, 6,50.0,0
Darren J G Sammy,2/05/2011 ,PAK,Kensington Oval     ,ODI, DNB,0,20.65,0,0,0
Darren J G Sammy,5/05/2011 ,PAK,Providence Stadium  ,ODI, DNB,0,20.65,0,0,0
Darren J G Sammy,6/06/2011 ,IND,Queen's Park        ,ODI,lbw b P Kumar                 ,   4,20.13, 5,80.0,0
Darren J G Sammy,8/06/2011 ,IND,Queen's Park        ,ODI,not out                       ,22,20.81,19,115.789473684,1
Darren J G Sammy,11/06/2011,IND,Sir Vivian Richards ,ODI,c P Patel b M Patel           ,   3,20.27,14,21.4285714286,0
Darren J G Sammy,13/06/2011,IND,Sir Vivian Richards ,ODI,not out                       ,1,20.30, 3,33.3333333333,1
Darren J G Sammy,16/06/2011,IND,Sabina Park         ,ODI, DNB,0,20.30,0,0,0
Darren J G Sammy,15/10/2011,BAN,Shere Bangla Stadium,ODI, DNB,0,20.30,0,0,0
Darren J G Sammy,18/10/2011,BAN,Zahur Ahmed Stadium ,ODI,lbw b Shakib Al Hasan         ,   2,19.76, 5,40.0,0
