 Lord Hawke,Hawke, Lord, England,5,  ,  
 Neil J N Hawke,Hawke, Neil J N, Australia,27,  ,  
 Matthew L Hayden,Hayden, Matthew L, Australia,103,161,9
 Ernest G Hayes,Hayes, Ernest G, England,5,  ,  
 Frank C Hayes,Hayes, Frank C, England,9,6,  
 John A Hayes,Hayes, John A, New Zealand,15,  ,  
 Roydon L Hayes,Hayes, Roydon L, New Zealand,  ,1,  
 Desmond L Haynes,Haynes, Desmond L, West Indies,116,238,  
 Robert C Haynes,Haynes, Robert C, West Indies,  ,8,  
 Mornantau Hayward,Hayward, Mornantau, South Africa,16,21,  
 Thomas W Hayward,Hayward, Thomas W, England,35,  ,  
 Vijay S Hazare,Hazare, Vijay S, India,30,  ,  
 Josh R Hazlewood,Hazlewood, Josh R, Australia,  ,1,  
 Gervys R Hazlitt,Hazlitt, Gervys R, Australia,9,  ,  
 Dean W Headley,Headley, Dean W, England,15,13,  
 George A Headley,Headley, George A, West Indies,22,  ,  
 Ronald G A Headley,Headley, Ronald G A, West Indies,2,1,  
 Ian A Healy,Healy, Ian A, Australia,119,168,  
 Stewart P Heaney,Heaney, Stewart P, Canada,  ,4,  
 Alec Hearne,Hearne, Alec, England,1,  ,  
 Frank Hearne,Hearne, Frank, South Africa,6,  ,  
 George A L Hearne,Hearne, George A L, South Africa,3,  ,  
 George G Hearne,Hearne, George G, England,1,  ,  
 John T Hearne,Hearne, John T, England,12,  ,  
 John W Hearne,Hearne, John W, England,24,  ,  
 Warren K Hegg,Hegg, Warren K, England,2,  ,  
 Thomas J Heggelman,Heggelman, Thomas J, Netherlands,  ,5,  
 Peter S Heine,Heine, Peter S, South Africa,14,  ,  
 Edward E Hemmings,Hemmings, Edward E, England,16,33,  
 David L Hemp,Hemp, David L, Bermuda,  ,22,2
 Claude W Henderson,Henderson, Claude W, South Africa,7,4,  
 Matthew Henderson,Henderson, Matthew, New Zealand,1,  ,  
 Tyron Henderson,Henderson, Tyron, South Africa,  ,  ,1
 Elias H Hendren,Hendren, Elias H, England,51,  ,  
 Michael Hendrick,Hendrick, Michael, England,30,22,  
 John L Hendriks,Hendriks, John L, West Indies,20,  ,  
 Hunter S T L Hendry,Hendry, Hunter S T L, Australia,11,  ,  
 Moises C Henriques,Henriques, Moises C, Australia,  ,2,1
 Cornelius C Henry,Henry, Cornelius C, Canada,  ,2,  
 Omar Henry,Henry, Omar, South Africa,3,3,  
 Rangana Herath,Herath, Rangana, Sri Lanka,32,16,2
 Jack G Heron,Heron, Jack G, Zimbabwe,  ,6,  
 Christopher Heseltine,Heseltine, Christopher, England,2,  ,  
 Dinuk Hettiarachchi,Hettiarachchi, Dinuk, Sri Lanka,1,  ,  
 Peter D Heyn,Heyn, Peter D, Sri Lanka,  ,2,  
 Paul A Hibbert,Hibbert, Paul A, Australia,1,  ,  
 Graeme A Hick,Hick, Graeme A, England,65,120,  
 Ryan Higgins,Higgins, Ryan, Zimbabwe,  ,11,  
 James D Higgs,Higgs, James D, Australia,22,  ,  
 Kenneth Higgs,Higgs, Kenneth, England,15,  ,  
 Andrew M J Hilditch,Hilditch, Andrew M J, Australia,18,8,  
 Benjamin W Hilfenhaus,Hilfenhaus, Benjamin W, Australia,17,15,6
 Allen Hill,Hill, Allen, England,2,  ,  
 Arthur J L Hill,Hill, Arthur J L, England,3,  ,  
 Clement Hill,Hill, Clement, Australia,49,  ,  
 John C Hill,Hill, John C, Australia,3,  ,  
 Malcolm J Hilton,Hilton, Malcolm J, England,4,  ,  
 Charles F W Hime,Hime, Charles F W, South Africa,1,  ,  
 Dattaram D Hindlekar,Hindlekar, Dattaram D, India,4,  ,  
 Ryan O Hinds,Hinds, Ryan O, West Indies,15,14,  
 Wavell W Hinds,Hinds, Wavell W, West Indies,45,119,5
 George H Hirst,Hirst, George H, England,24,  ,  
 Narendra D Hirwani,Hirwani, Narendra D, India,17,18,  
 John W Hitch,Hitch, John W, England,7,  ,  
 Paul A Hitchcock,Hitchcock, Paul A, New Zealand,  ,14,1
 Edward L G Hoad,Hoad, Edward L G, West Indies,4,  ,  
 Desmond E Hoare,Hoare, Desmond E, Australia,1,  ,  
 John B Hobbs,Hobbs, John B, England,61,  ,  
 Robin N S Hobbs,Hobbs, Robin N S, England,7,  ,  
 Bradley J Hodge,Hodge, Bradley J, Australia,6,25,8
 John H Hodges,Hodges, John H, Australia,2,  ,  
 Kyle C Hodsoll,Hodsoll, Kyle C, Bermuda,  ,3,1
 Paul J C Hoffmann,Hoffmann, Paul J C, Scotland,  ,18,  
 Thomas G Hogan,Hogan, Thomas G, Australia,7,16,  
 George B Hogg,Hogg, George B, Australia,7,123,2
 Rodney M Hogg,Hogg, Rodney M, Australia,38,71,  
 Vincent R Hogg,Hogg, Vincent R, Zimbabwe,  ,2,  
 Matthew J Hoggard,Hoggard, Matthew J, England,67,26,  
 Trevor V Hohns,Hohns, Trevor V, Australia,7,  ,  
 Roland I C Holder,Holder, Roland I C, West Indies,11,37,  
 Vanburn A Holder,Holder, Vanburn A, West Indies,40,12,  
 Michael A Holding,Holding, Michael A, West Indies,60,102,  
 Graeme B Hole,Hole, Graeme B, Australia,18,  ,  
 David A J Holford,Holford, David A J, West Indies,24,  ,  
 Robert G Holland,Holland, Robert G, Australia,11,2,  
 William E Hollies,Hollies, William E, England,13,  ,  
 Adam J Hollioake,Hollioake, Adam J, England,4,35,  
 Ben C Hollioake,Hollioake, Ben C, England,2,20,  
 Delano W Hollis,Hollis, Delano W, Bermuda,  ,1,  
 Errol R T Holmes,Holmes, Errol R T, England,5,  ,  
 Percy Holmes,Holmes, Percy, England,7,  ,  
 John K Holt (Jr),Holt (Jr), John K, West Indies,17,  ,  
 Douglas T Hondo,Hondo, Douglas T, Zimbabwe,9,56,  
 Leland Hone,Hone, Leland, England,1,  ,  
 David W Hookes,Hookes, David W, Australia,23,39,  
 Calvert K Hooper,Hooper, Calvert K, Canada,  ,5,  
 Carl L Hooper,Hooper, Carl L, West Indies,102,227,  
 James R Hopes,Hopes, James R, Australia,  ,84,12
 Albert J Y Hopkins,Hopkins, Albert J Y, Australia,20,  ,  
 Gareth J Hopkins,Hopkins, Gareth J, New Zealand,4,25,10
 John L Hopwood,Hopwood, John L, England,2,  ,  
 Thomas P Horan,Horan, Thomas P, Australia,15,  ,  
 Herbert V Hordern,Hordern, Herbert V, Australia,7,  ,  
 Albert N Hornby,Hornby, Albert N, England,3,  ,  
 Matthew J Horne,Horne, Matthew J, New Zealand,35,50,  
 Philip A Horne,Horne, Philip A, New Zealand,4,4,  
 Percival M Hornibrook,Hornibrook, Percival M, Australia,6,  ,  
 Martin J Horton,Horton, Martin J, England,2,  ,  
 Kenneth W Hough,Hough, Kenneth W, New Zealand,2,  ,  
 David L Houghton,Houghton, David L, Zimbabwe,22,63,  
