 Morappakam J Gopalan,Gopalan, Morappakam J, India,1,  ,  
 Coimbatarao D Gopinath,Gopinath, Coimbatarao D, India,8,  ,  
 Norman Gordon,Gordon, Norman, South Africa,5,  ,  
 Tyson G Gordon,Gordon, Tyson G, Canada,  ,5,  
 Gordon Goudie,Goudie, Gordon, Scotland,  ,14,1
 Darren Gough,Gough, Darren, England,58,159,2
 Eric Gouka,Gouka, Eric, Netherlands,  ,3,  
 Ian J Gould,Gould, Ian J, England,  ,18,  
 Alfred R Gover,Gover, Alfred R, England,4,  ,  
 David I Gower,Gower, David I, England,117,114,  
 Edward M Grace,Grace, Edward M, England,1,  ,  
 George F Grace,Grace, George F, England,1,  ,  
 William G Grace,Grace, William G, England,22,  ,  
 Shaun F Graf,Graf, Shaun F, Australia,  ,11,  
 Henry Graham,Graham, Henry, Australia,6,  ,  
 Robert Graham,Graham, Robert, South Africa,2,  ,  
 Victor Grandia,Grandia, Victor, Netherlands,  ,1,  
 George C Grant,Grant, George C, West Indies,12,  ,  
 Rolph S Grant,Grant, Rolph S, West Indies,7,  ,  
 Thomas W Graveney,Graveney, Thomas W, England,79,  ,  
 Anthony H Gray,Gray, Anthony H, West Indies,5,25,  
 Evan J Gray,Gray, Evan J, New Zealand,10,10,  
 Adrian P Grayson,Grayson, Adrian P, England,  ,2,  
 Mark J Greatbatch,Greatbatch, Mark J, New Zealand,41,84,  
 Thomas Greenhough,Greenhough, Thomas, England,4,  ,  
 Alvin E Greenidge,Greenidge, Alvin E, West Indies,6,1,  
 Cuthbert Gordon Greenidge,Greenidge, Cuthbert Gordon, West Indies,108,128,  
 Geoffrey A Greenidge,Greenidge, Geoffrey A, West Indies,5,  ,  
 Andrew Greenwood,Greenwood, Andrew, England,2,  ,  
 David W Gregory,Gregory, David W, Australia,3,  ,  
 Edward J Gregory,Gregory, Edward J, Australia,1,  ,  
 John M Gregory,Gregory, John M, Australia,24,  ,  
 Ross G Gregory,Gregory, Ross G, Australia,2,  ,  
 Sydney E Gregory,Gregory, Sydney E, Australia,58,  ,  
 Anthony W Greig,Greig, Anthony W, England,58,22,  
 Ian A Greig,Greig, Ian A, England,2,  ,  
 Mervyn G Grell,Grell, Mervyn G, West Indies,1,  ,  
 Basil A F Grieve,Grieve, Basil A F, England,2,  ,  
 Ronald E Grieveson,Grieveson, Ronald E, South Africa,2,  ,  
 Geoffrey M Griffin,Griffin, Geoffrey M, South Africa,2,  ,  
 Adrian F G Griffith,Griffith, Adrian F G, West Indies,14,9,  
 Charles C Griffith,Griffith, Charles C, West Indies,28,  ,  
 Herman C Griffith,Griffith, Herman C, West Indies,13,  ,  
 Stewart C Griffith,Griffith, Stewart C, England,3,  ,  
 Clarence V Grimmett,Grimmett, Clarence V, Australia,37,  ,  
 Trevor R Gripper,Gripper, Trevor R, Zimbabwe,20,8,  
 Thomas U Groube,Groube, Thomas U, Australia,1,  ,  
 Arthur T W Grout,Grout, Arthur T W, Australia,51,  ,  
 Timothy J G Gruitjers,Gruitjers, Timothy J G, Netherlands,  ,4,  
 Ghulam M Guard,Guard, Ghulam M, India,2,  ,  
 Runish D Gudhka,Gudhka, Runish D, Kenya,  ,2,  
 Colin E J Guest,Guest, Colin E J, Australia,1,  ,  
 Subroto Guha,Guha, Subroto, India,4,  ,  
 Simpson C Guillen,Guillen, Simpson C, New Zealand,8,  ,  
 Gul Mahomed,Gul Mahomed,, Pakistan,9,  ,  
 Gulbodin Naib,Gulbodin Naib,, Afghanistan,  ,1,  
 Pulasthi W Gunaratne,Gunaratne, Pulasthi W, Sri Lanka,  ,23,  
 Ruvindu Gunasekera,Gunasekera, Ruvindu, Canada,  ,12,  
 Aruna A W Gunawardene,Gunawardene, Aruna A W, Sri Lanka,  ,1,  
 Dihan A Gunawardene,Gunawardene, Dihan A, Sri Lanka,6,61,  
 Roshan P W Guneratne,Guneratne, Roshan P W, Sri Lanka,1,  ,  
 George Gunn,Gunn, George, England,15,  ,  
 John R Gunn,Gunn, John R, England,6,  ,  
 William Gunn,Gunn, William, England,11,  ,  
 Sandeep K Gupta,Gupta, Sandeep K, Kenya,  ,10,  
 Balkrishna P Gupte,Gupte, Balkrishna P, India,3,  ,  
 Subhash P Gupte,Gupte, Subhash P, India,36,  ,  
 Martin J Guptill,Guptill, Martin J, New Zealand,16,54,25
 Gursharan Singh,Gursharan Singh,, India,1,1,  
 Asanka P Gurusinha,Gurusinha, Asanka P, Sri Lanka,41,147,  
 John W Guy,Guy, John W, New Zealand,12,  ,  
