 John H King,King, John H, England,1,  ,  
 Lester A King,King, Lester A, West Indies,2,  ,  
 Reon D King,King, Reon D, West Indies,19,50,  
 Septimus Kinneir,Kinneir, Septimus, England,1,  ,  
 Alan F Kippax,Kippax, Alan F, Australia,22,  ,  
 Syed M H Kirmani,Kirmani, Syed M H, India,88,49,  
 Gary Kirsten,Kirsten, Gary, South Africa,101,185,  
 Peter N Kirsten,Kirsten, Peter N, South Africa,12,40,  
 Robert J Kirtley,Kirtley, Robert J, England,4,11,1
 Harisinghani G Kischenchand,Kischenchand, Harisinghani G, India,5,  ,  
 Rory K Kleinveldt,Kleinveldt, Rory K, South Africa,  ,  ,2
 Lindsay F Kline,Kline, Lindsay F, Australia,13,  ,  
 Jan F Kloppenburg,Kloppenburg, Jan F, Netherlands,  ,6,  
 Lance Klusener,Klusener, Lance, South Africa,49,171,  
 Albert E Knight,Knight, Albert E, England,3,  ,  
 Barry R Knight,Knight, Barry R, England,29,  ,  
 Donald J Knight,Knight, Donald J, England,2,  ,  
 Nicholas V Knight,Knight, Nicholas V, England,17,100,  
 Alan P E Knott,Knott, Alan P E, England,95,20,  
 Neville A Knox,Knox, Neville A, England,2,  ,  
 Louis J Koen,Koen, Louis J, South Africa,  ,5,  
 Virat Kohli,Kohli, Virat, India,3,69,6
 Bjorn L Kotze,Kotze, Bjorn L, Namibia,  ,5,  
 Deon B Kotze,Kotze, Deon B, Namibia,  ,6,  
 Johannes J Kotze,Kotze, Johannes J, South Africa,3,  ,  
 Jason J Krejza,Krejza, Jason J, Australia,2,8,  
 Amritsar G Kripal Singh,Kripal Singh, Amritsar G, India,14,  ,  
 Pallemoni Krishnamurthy,Krishnamurthy, Pallemoni, India,5,1,  
 Bradley P Kruger,Kruger, Bradley P, Netherlands,  ,5,  
 Courtney K Kruger,Kruger, Courtney K, Hong Kong,  ,2,  
 Garnett J-P Kruger,Kruger, Garnett J-P, South Africa,  ,3,1
 Neil Kruger,Kruger, Neil, Netherlands,  ,2,  
 Christopher M Kuggeleijn,Kuggeleijn, Christopher M, New Zealand,2,16,  
 Heino G Kuhn,Kuhn, Heino G, South Africa,  ,  ,5
 Adrian P Kuiper,Kuiper, Adrian P, South Africa,1,25,  
 Chamith K B Kulasekara,Kulasekara, Chamith K B, Sri Lanka,1,1,  
 K M D Nuwan Kulasekara,Kulasekara, K M D Nuwan, Sri Lanka,12,98,15
 H G Jeeuantha M Kulatunga,Kulatunga, H G Jeeuantha M, Sri Lanka,  ,  ,2
 Nilesh M Kulkarni,Kulkarni, Nilesh M, India,3,10,  
 Rajiv R Kulkarni,Kulkarni, Rajiv R, India,3,10,  
 Umesh N Kulkarni,Kulkarni, Umesh N, India,4,  ,  
