 Tabarak Dar,Tabarak Dar,, Hong Kong,  ,4,  
 Hedley B Taber,Taber, Hedley B, Australia,16,  ,  
 Henry M Taberer,Taberer, Henry M, South Africa,1,  ,  
 Tahir Naqqash,Tahir Naqqash,, Pakistan,15,40,  
 Tatenda Taibu,Taibu, Tatenda, Zimbabwe,27,147,15
 Alex R Tait,Tait, Alex R, New Zealand,  ,5,  
 Shaun W Tait,Tait, Shaun W, Australia,3,35,19
 Talat Ali,Talat Ali,, Pakistan,10,  ,  
 Talha Jubair,Talha Jubair,, Bangladesh,7,6,  
 Donald Tallon,Tallon, Donald, Australia,21,  ,  
 Narendra S Tamhane,Tamhane, Narendra S, India,21,  ,  
 Tamim Iqbal,Tamim Iqbal,, Bangladesh,22,106,15
 Augustus B Tancred,Tancred, Augustus B, South Africa,2,  ,  
 Louis J Tancred,Tancred, Louis J, South Africa,14,  ,  
 Vincent M Tancred,Tancred, Vincent M, South Africa,1,  ,  
 Tanvir Ahmed,Tanvir Ahmed,, Pakistan,4,2,1
 Tanvir Mehdi,Tanvir Mehdi,, Pakistan,  ,1,  
 Tapash Baisya,Tapash Baisya,, Bangladesh,21,56,  
 George L Tapscott,Tapscott, George L, South Africa,1,  ,  
 Lionel E Tapscott,Tapscott, Lionel E, South Africa,2,  ,  
 Keki K Tarapore,Tarapore, Keki K, India,1,  ,  
 Tareq Aziz,Tareq Aziz,, Bangladesh,3,10,  
 Tariq Javed,Tariq Javed,, Canada,  ,3,  
 Taslim Arif,Taslim Arif,, Pakistan,6,2,  
 Frederick W Tate,Tate, Frederick W, England,1,  ,  
 Maurice W Tate,Tate, Maurice W, England,39,  ,  
 Roy Tattersall,Tattersall, Roy, England,16,  ,  
 Taufeeq Umar,Taufeeq Umar,, Pakistan,35,22,  
 Tausif Ahmed,Tausif Ahmed,, Pakistan,34,70,  
 Christopher J Tavare,Tavare, Christopher J, England,31,29,  
 Hugh J Tayfield,Tayfield, Hugh J, South Africa,37,  ,  
 Alistair I Taylor,Taylor, Alistair I, South Africa,1,  ,  
 Brendan R M Taylor,Taylor, Brendan R M, Zimbabwe,13,129,13
 Bruce R Taylor,Taylor, Bruce R, New Zealand,30,2,  
 Daniel Taylor,Taylor, Daniel, South Africa,2,  ,  
 Donald D Taylor,Taylor, Donald D, New Zealand,3,  ,  
 Herbert W Taylor,Taylor, Herbert W, South Africa,42,  ,  
 James W A Taylor,Taylor, James W A, England,  ,1,  
 Jaswick O Taylor,Taylor, Jaswick O, West Indies,3,  ,  
 Jerome E Taylor,Taylor, Jerome E, West Indies,29,66,17
 John M Taylor,Taylor, John M, Australia,20,  ,  
