 Edward R Dexter,Dexter, Edward R, England,62,  ,  
 Sunil Dhaniram,Dhaniram, Sunil, Canada,  ,44,11
 Rajindra Dhanraj,Dhanraj, Rajindra, West Indies,4,6,  
 Pankaj Dharmani,Dharmani, Pankaj, India,  ,1,  
 Handunettige D P K Dharmasena,Dharmasena, Handunettige D P K, Sri Lanka,31,141,  
 Shikhar Dharwan,Dharwan, Shikhar, India,  ,5,1
 Haninder S Dhillon,Dhillon, Haninder S, Canada,  ,2,  
 Dhiman Ghosh,Dhiman Ghosh,, Bangladesh,  ,14,1
 Mahendra S Dhoni,Dhoni, Mahendra S, India,62,196,27
 Michael J Di Venuto,Di Venuto, Michael J, Australia,  ,9,  
 Brendon J Diamanti,Diamanti, Brendon J, New Zealand,  ,1,1
 Roy L Dias,Dias, Roy L, Sri Lanka,20,58,  
 Arthur E Dick,Dick, Arthur E, New Zealand,17,  ,  
 George R Dickinson,Dickinson, George R, New Zealand,3,  ,  
 Wilfred P Diepeveen,Diepeveen, Wilfred P, Netherlands,  ,1,  
 Sameer S Dighe,Dighe, Sameer S, India,6,23,  
 Dilawar Hussain,Dilawar Hussain,, India,3,  ,  
 Loku Hettige D Dilhara,Dilhara, Loku Hettige D, Sri Lanka,  ,8,2
 Graham R Dilley,Dilley, Graham R, England,41,36,  
 Merwyn V Dillon,Dillon, Merwyn V, West Indies,38,108,  
 Tillekeratne M Dilshan,Dilshan, Tillekeratne M, Sri Lanka,74,215,34
 Ashok B Dinda,Dinda, Ashok B, India,  ,5,3
 Hendrik H Dippenaar,Dippenaar, Hendrik H, South Africa,38,107,1
 Alfred E Dipper,Dipper, Alfred E, England,1,  ,  
 Ramesh V Divecha,Divecha, Ramesh V, India,5,  ,  
 Cecil D Dixon,Dixon, Cecil D, South Africa,1,  ,  
 George Dockrell,Dockrell, George, Ireland,  ,26,7
 Anthony I C Dodemaide,Dodemaide, Anthony I C, Australia,10,24,  
 George H G Doggart,Doggart, George H G, England,2,  ,  
 Xavier J Doherty,Doherty, Xavier J, Australia,2,16,  
 Dolar Mahmud,Dolar Mahmud,, Bangladesh,  ,7,  
 Horace E Dollery,Dollery, Horace E, England,4,  ,  
 Arthur Dolphin,Dolphin, Arthur, England,1,  ,  
 Allan A Donald,Donald, Allan A, South Africa,72,164,  
 Henry Donnan,Donnan, Henry, Australia,5,  ,  
 Martin P Donnelly,Donnelly, Martin P, New Zealand,7,  ,  
 Bruce Dooland,Dooland, Bruce, Australia,3,  ,  
 Brett R Dorey,Dorey, Brett R, Australia,  ,4,  
 Dilip R Doshi,Doshi, Dilip R, India,33,15,  
 Chris R M Douglas,Douglas, Chris R M, Bermuda,  ,2,  
 John W H T Douglas,Douglas, John W H T, England,23,  ,  
 Mark W Douglas,Douglas, Mark W, New Zealand,  ,6,  
 Simon B Doull,Doull, Simon B, New Zealand,32,42,  
 Uton G Dowe,Dowe, Uton G, West Indies,4,  ,  
 Robert R Dower,Dower, Robert R, South Africa,1,  ,  
 Travis M Dowlin,Dowlin, Travis M, West Indies,6,11,2
 Graham T Dowling,Dowling, Graham T, New Zealand,39,  ,  
 Paul R Downton,Downton, Paul R, England,30,28,  
 Vasbert C Drakes,Drakes, Vasbert C, West Indies,12,34,  
 Ronald G Draper,Draper, Ronald G, South Africa,2,  ,  
 Rahul Dravid,Dravid, Rahul, India,158,344,1
 Norman F Druce,Druce, Norman F, England,5,  ,  
 Christopher J Drum,Drum, Christopher J, New Zealand,5,5,  
 Gordon D Drummond,Drummond, Gordon D, Scotland,  ,25,9
 Francois du Plessis,du Plessis, Francois, South Africa,1,13,  
 John H Du Preez,Du Preez, John H, South Africa,2,  ,  
 Jacobus F Du Toit,Du Toit, Jacobus F, South Africa,1,  ,  
 Andrew Ducat,Ducat, Andrew, England,1,  ,  
 Christopher A R Duckworth,Duckworth, Christopher A R, South Africa,2,  ,  
 George Duckworth,Duckworth, George, England,24,  ,  
 Kevin G Duers,Duers, Kevin G, Zimbabwe,  ,6,  
 Reginald A Duff,Duff, Reginald A, Australia,22,  ,  
 Terrence Duffin,Duffin, Terrence, Zimbabwe,2,23,  
 Peter J L Dujon,Dujon, Peter J L, West Indies,81,169,  
 Shaukat F Dukanwala,Dukanwala, Shaukat F, United Arab Emirates,  ,5,  
 Kumar S Duleepsinhji,Duleepsinhji, Kumar S, England,12,  ,  
 Richard Dumbrill,Dumbrill, Richard, South Africa,5,  ,  
 Jacobus P Duminy,Duminy, Jacobus P, South Africa,3,  ,  
 Jean-Paul Duminy,Duminy, Jean-Paul, South Africa,12,81,32
 John R F Duncan,Duncan, John R F, Australia,1,  ,  
 Owen R Dunell,Dunell, Owen R, South Africa,2,  ,  
 John A Dunning,Dunning, John A, New Zealand,4,  ,  
 Chamara I Dunusinghe,Dunusinghe, Chamara I, Sri Lanka,5,1,  
 Salim A Durani,Durani, Salim A, India,29,  ,  
 Hasan Durham,Durham, Hasan, Bermuda,  ,9,  
 Frederick J Durston,Durston, Frederick J, England,1,  ,  
 Dennis V Dyer,Dyer, Dennis V, South Africa,3,  ,  
 Gregory C Dyer,Dyer, Gregory C, Australia,6,23,  
 Nicholas R Dyer,Dyer, Nicholas R, Scotland,  ,5,  
 Geoffrey Dymock,Dymock, Geoffrey, Australia,21,15,  
 John Dyson,Dyson, John, Australia,30,29,  
