 Matthew D Bell,Bell, Matthew D, New Zealand,18,7,  
 William Bell,Bell, William, New Zealand,2,  ,  
 John Benaud,Benaud, John, Australia,3,  ,  
 Richard Benaud,Benaud, Richard, Australia,63,  ,  
 Joseph E Benjamin,Benjamin, Joseph E, England,1,2,  
 Kenneth C G Benjamin,Benjamin, Kenneth C G, West Indies,26,26,  
 Winston K M Benjamin,Benjamin, Winston K M, West Indies,21,85,  
 Dale M Benkenstein,Benkenstein, Dale M, South Africa,  ,23,  
 Sulieman J Benn,Benn, Sulieman J, West Indies,17,25,17
 Hamish K Bennett,Bennett, Hamish K, New Zealand,1,12,  
 Murray J Bennett,Bennett, Murray J, Australia,3,8,  
 Mark R Benson,Benson, Mark R, England,1,1,  
 David E Bernard,Bernard, David E, West Indies,3,20,1
 Richard D Berrington,Berrington, Richard D, Scotland,  ,20,8
 Robert Berry,Berry, Robert, England,2,  ,  
 Brandon J Bess,Bess, Brandon J, West Indies,1,  ,  
 Carlisle A Best,Best, Carlisle A, West Indies,8,24,  
 Tino L Best,Best, Tino L, West Indies,14,12,  
 Nelson Betancourt,Betancourt, Nelson, West Indies,1,  ,  
 Michael G Bevan,Bevan, Michael G, Australia,18,232,  
 Amit Bhandari,Bhandari, Amit, India,  ,2,  
 Prakash Bhandari,Bhandari, Prakash, India,3,  ,  
 Vijay R R Bhardwaj,Bhardwaj, Vijay R R, India,3,10,  
 Adwai R Bhat,Bhat, Adwai R, India,2,  ,  
 Rustam A Bhatti,Bhatti, Rustam A, Canada,  ,1,  
 Umar Bhatti,Bhatti, Umar, Canada,  ,36,7
 Rajesh L Bhudia,Bhudia, Rajesh L, Kenya,  ,5,3
 Bhupinder Singh,Bhupinder Singh,, India,  ,2,  
 Andrew J Bichel,Bichel, Andrew J, Australia,19,67,  
 Martin P Bicknell,Bicknell, Martin P, England,4,7,  
 Grahame P Bilby,Bilby, Grahame P, New Zealand,2,  ,  
 Ian S Billcliff,Billcliff, Ian S, Canada,  ,19,2
 James G Binks,Binks, James G, England,2,  ,  
 Alfred P Binns,Binns, Alfred P, West Indies,5,  ,  
 Roger M H Binny,Binny, Roger M H, India,27,72,  
 Morice C Bird,Bird, Morice C, England,10,  ,  
 Jack Birkenshaw,Birkenshaw, Jack, England,5,  ,  
 Lionel S Birkett,Birkett, Lionel S, West Indies,4,  ,  
 Travis R Birt,Birt, Travis R, Australia,  ,  ,3
 Devendra Bishoo,Bishoo, Devendra, West Indies,8,13,4
 Glenn A Bishop,Bishop, Glenn A, Australia,  ,2,  
 Ian R Bishop,Bishop, Ian R, West Indies,43,84,  
 Murray Bisset,Bisset, Murray, South Africa,3,  ,  
 George F Bissett,Bissett, George F, South Africa,4,  ,  
 Marlon I Black,Black, Marlon I, West Indies,6,5,  
 John M Blackham,Blackham, John M, Australia,35,  ,  
 Donald D J Blackie,Blackie, Donald D J, Australia,3,  ,  
 Ian D Blackwell,Blackwell, Ian D, England,1,34,  
 John A R Blain,Blain, John A R, Scotland,  ,33,5
 Tony E Blain,Blain, Tony E, New Zealand,11,38,  
 Bruce R Blair,Blair, Bruce R, New Zealand,  ,14,  
 Robert W Blair,Blair, Robert W, New Zealand,19,  ,  
 Donovan L Blake,Blake, Donovan L, United States,  ,1,  
 Glenn Blakeney,Blakeney, Glenn, Bermuda,  ,2,  
 Richard J Blakey,Blakey, Richard J, England,2,3,  
 James M Blanckenberg,Blanckenberg, James M, South Africa,18,  ,  
 Kenneth C Bland,Bland, Kenneth C, South Africa,21,  ,  
 Gregory S Blewett,Blewett, Gregory S, Australia,46,32,  
 Ivo F W Bligh,Bligh, Ivo F W, England,4,  ,  
 Arnoldus M Blignaut,Blignaut, Arnoldus M, Zimbabwe,19,54,1
 Roger C Blunt,Blunt, Roger C, New Zealand,9,  ,  
 Colin Blythe,Blythe, Colin, England,19,  ,  
 John H Board,Board, John H, England,6,  ,  
 Ernest G Bock,Bock, Ernest G, South Africa,1,  ,  
 Gulam H Bodi,Bodi, Gulam H, South Africa,  ,2,1
 Nico Boje,Boje, Nico, South Africa,43,115,1
 Douglas E Bollinger,Bollinger, Douglas E, Australia,12,39,2
 Bruce A Bolton,Bolton, Bruce A, New Zealand,2,  ,  
 John B Bolus,Bolus, John B, England,7,  ,  
 Gerald E Bond,Bond, Gerald E, South Africa,1,  ,  
 Shane E Bond,Bond, Shane E, New Zealand,18,81,20
 Nkruma E Bonner,Bonner, Nkruma E, West Indies,  ,  ,1
 George J Bonnor,Bonnor, George J, Australia,17,  ,  
 Stephen L Boock,Boock, Stephen L, New Zealand,30,14,  
 David C Boon,Boon, David C, Australia,107,181,  
 Brian C Booth,Booth, Brian C, Australia,29,  ,  
 William Booth,Booth, William, England,2,  ,  
 Ravinda S Bopara,Bopara, Ravinda S, England,12,69,16
 Chandrakant G Borde,Borde, Chandrakant G, India,55,  ,  
 Delyone C Borden,Borden, Delyone C, Bermuda,  ,12,  
 Allan R Border,Border, Allan R, Australia,156,273,  
 Peter W Borren,Borren, Peter W, Netherlands,  ,49,9
 Scott G Borthwick,Borthwick, Scott G, England,  ,2,1
 Bernard J T Bosanquet,Bosanquet, Bernard J T, England,7,  ,  
 Tertius Bosch,Bosch, Tertius, South Africa,1,2,  
 Gopalkrishna Bose,Bose, Gopalkrishna, India,  ,1,  
 Lungile L Bosman,Bosman, Lungile L, South Africa,  ,14,14
 Jayawardene W H D Boteju,Boteju, Jayawardene W H D, Sri Lanka,  ,2,  
 Andre C Botha,Botha, Andre C, Ireland,  ,42,13
 Johan Botha,Botha, Johan, South Africa,5,77,28
 Ian T Botham,Botham, Ian T, England,102,116,  
 James T Botten,Botten, James T, South Africa,3,  ,  
 Mark V Boucher,Boucher, Mark V, South Africa,140,295,25
 Montague P Bowden,Bowden, Montague P, England,2,  ,  
 William E Bowes,Bowes, William E, England,15,  ,  
 Edward H Bowley,Bowley, Edward H, England,5,  ,  
 Keith D Boyce,Boyce, Keith D, West Indies,21,8,  
 Geoffrey Boycott,Boycott, Geoffrey, England,108,36,  
 Henry F Boyle,Boyle, Henry F, Australia,12,  ,  
 Brendon P Bracewell,Bracewell, Brendon P, New Zealand,6,1,  
 Douglas A J Bracewell,Bracewell, Douglas A J, New Zealand,1,2,2
 John G Bracewell,Bracewell, John G, New Zealand,41,53,  
 Nathan W Bracken,Bracken, Nathan W, Australia,5,116,19
 Grant E Bradburn,Bradburn, Grant E, New Zealand,7,11,  
 Wynne P Bradburn,Bradburn, Wynne P, New Zealand,2,  ,  
 Walter M Bradley,Bradley, Walter M, England,2,  ,  
 Donald G Bradman,Bradman, Donald G, Australia,52,  ,  
