 Thirumalai A P Sekar,Sekar, Thirumalai A P, India,2,4,  
 John Selby,Selby, John, England,6,  ,  
 Reginald H D Sellers,Sellers, Reginald H D, Australia,1,  ,  
 Michael W W Selvey,Selvey, Michael W W, England,3,  ,  
 Keith F Semple,Semple, Keith F, West Indies,  ,7,  
 Probir Sen,Sen, Probir, India,14,  ,  
 Charith P Senanayake,Senanayake, Charith P, Sri Lanka,3,7,  
 Apoorva K Sengupta,Sengupta, Apoorva K, India,1,  ,  
 Craig S Serjeant,Serjeant, Craig S, Australia,12,3,  
 Ramesh K Sethi,Sethi, Ramesh K, East Africa,  ,3,  
 David G Sewell,Sewell, David G, New Zealand,1,  ,  
 Michael A Seymour,Seymour, Michael A, South Africa,7,  ,  
 Shabbir Ahmed,Shabbir Ahmed,, Pakistan,10,32,1
 Shabir Noori,Shabir Noori,, Afghanistan,  ,8,  
 Derek Shackleton,Shackleton, Derek, England,7,  ,  
 Shadab Kabir,Shadab Kabir,, Pakistan,5,3,  
 Shafiq Ahmed,Shafiq Ahmed,, Pakistan,6,3,  
 Shafiqullah,Shafiqullah,, Afghanistan,  ,2,5
 Shafiuddin Ahmed,Shafiuddin Ahmed,, Bangladesh,  ,11,  
 Shafiul Islam,Shafiul Islam,, Bangladesh,6,40,4
 Shafqat Rana,Shafqat Rana,, Pakistan,5,  ,  
 Owais A Shah,Shah, Owais A, England,6,71,17
 Ravindu D Shah,Shah, Ravindu D, Kenya,  ,56,  
 Shahadat Hossain,Shahadat Hossain,, Bangladesh,31,46,5
 Shaheedur Rahman,Shaheedur Rahman,, Bangladesh,  ,2,  
 Shahid Afridi,Shahid Afridi,, Pakistan,27,326,43
 Shahid Anwar,Shahid Anwar,, Pakistan,  ,1,  
 Shahid Israr,Shahid Israr,, Pakistan,1,  ,  
 Shahid Mahboob,Shahid Mahboob,, Pakistan,1,10,  
 Shahid Mahmood,Shahid Mahmood,, Pakistan,1,  ,  
 Shahid Nazir,Shahid Nazir,, Pakistan,15,17,  
 Shahid Saeed,Shahid Saeed,, Pakistan,1,10,  
 Shahriar Hossain,Shahriar Hossain,, Bangladesh,3,20,  
 Shahriar Nafees,Shahriar Nafees,, Bangladesh,19,72,1
 Shahzad Khan,Shahzad Khan,, Canada,  ,1,  
 Shahzaib Hasan,Shahzaib Hasan,, Pakistan,  ,3,10
 Shakeel Ahmed,Shakeel Ahmed,, Pakistan,1,  ,  
 Shakeel Ahmed (Jr),Shakeel Ahmed (Jr),, Pakistan,3,2,  
 Shakeel Khan,Shakeel Khan,, Pakistan,  ,1,  
 Shakib Al Hasan,Shakib Al Hasan,, Bangladesh,24,119,15
 William A Shalders,Shalders, William A, South Africa,12,  ,  
 Aftabodeen Shamsuden,Shamsuden, Aftabodeen, Canada,  ,1,  
 Shapoor Zadran,Shapoor Zadran,, Afghanistan,  ,13,8
 Safyaan Sharif,Sharif, Safyaan, Scotland,  ,3,  
 Shariful Haque,Shariful Haque,, Bangladesh,  ,1,  
